position,rotation,velocity,angular_velocity
[7.550285 0.1000907 -23.41378],[0.9992029 0.01716977 0.005040668 0.03568431],[-0.6983823 0.0 -0.01492328],[0.007965209 -0.002384481 0.08489934]
[7.536152 0.1000907 -23.41394],[0.9991716 0.01724152 0.005028762 0.0365171],[-0.706641 0.0 -0.008055696],[0.007684802 -0.00234774 0.08326795]
[7.521849 0.1000907 -23.41396],[0.9991405 0.01731043 0.005017091 0.03733037],[-0.715157 0.0 -0.001213892],[0.007390135 -0.002301134 0.08131805]
[7.50737 0.1000907 -23.41385],[0.9991096 0.01737631 0.005005696 0.03812117],[-0.7239206 0.0 0.005601191],[0.007075187 -0.002245951 0.07907517]
[7.492712 0.1000907 -23.4136],[0.999079 0.01743912 0.004994624 0.03888683],[-0.7329212 0.0 0.01238854],[0.006754663 -0.002181912 0.07656343]
[7.477869 0.1000907 -23.41322],[0.9990489 0.01749877 0.004983912 0.03962496],[-0.7421471 0.0 0.01914714],[0.006422194 -0.002110499 0.07381269]
[7.462837 0.1000907 -23.4127],[0.9990197 0.01755516 0.004973592 0.04033349],[-0.7515858 0.0 0.02587593],[0.006078703 -0.002032786 0.07085568]
[7.447613 0.1000907 -23.41205],[0.9989913 0.01760833 0.004963699 0.04101064],[-0.761224 0.0 0.03257383],[0.005738772 -0.001948551 0.06772007]
[7.432192 0.1000907 -23.41126],[0.9989638 0.01765827 0.004954255 0.04165497],[-0.7710479 0.0 0.03923979],[0.005395887 -0.001859509 0.06443971]
[7.416571 0.1000907 -23.41035],[0.9989374 0.01770503 0.004945284 0.04226536],[-0.7810434 0.0 0.04587274],[0.005057435 -0.001766106 0.06104632]
[7.400747 0.1000907 -23.4093],[0.9989121 0.01774859 0.0049368 0.04284097],[-0.7911957 0.0 0.05247166],[0.004716556 -0.001670022 0.05757015]
[7.384717 0.1000907 -23.40812],[0.998888 0.01778907 0.004928817 0.0433813],[-0.8014902 0.0 0.05903551],[0.004387457 -0.001571154 0.05404317]
[7.368479 0.1000907 -23.40681],[0.9988654 0.01782653 0.004921341 0.04388614],[-0.811912 0.0 0.06556334],[0.004062975 -0.001471151 0.05049481]
[7.35203 0.1000907 -23.40536],[0.9988441 0.01786107 0.004914377 0.04435558],[-0.8224463 0.0 0.07205418],[0.003749914 -0.001370452 0.04695373]
[7.335369 0.1000907 -23.4038],[0.9988242 0.01789274 0.004907918 0.04478994],[-0.8330785 0.0 0.07850717],[0.003440993 -0.001270667 0.04344726]
[7.318493 0.1000907 -23.4021],[0.9988057 0.01792171 0.004901963 0.04518982],[-0.8437941 0.0 0.08492143],[0.003149729 -0.001171428 0.03999881]
[7.301401 0.1000907 -23.40027],[0.9987885 0.01794808 0.004896501 0.04555605],[-0.8545792 0.0 0.09129616],[0.002868631 -0.001074359 0.03663433]
[7.284093 0.1000907 -23.39832],[0.9987729 0.01797193 0.004891516 0.04588971],[-0.86542 0.0 0.09763063],[0.002597001 -0.0009802994 0.03337588]
[7.266567 0.1000907 -23.39624],[0.9987586 0.0179935 0.004886998 0.04619199],[-0.8763036 0.0 0.1039241],[0.002347951 -0.0008885822 0.03023857]
[7.248822 0.1000907 -23.39404],[0.9987457 0.01801283 0.004882923 0.04646433],[-0.8872173 0.0 0.1101761],[0.002106569 -0.0008013693 0.02724286]
[7.230859 0.1000907 -23.39171],[0.998734 0.01803014 0.004879272 0.04670823],[-0.8981494 0.0 0.1163859],[0.001885875 -0.0007177825 0.02439818]
[7.212677 0.1000907 -23.38926],[0.9987236 0.01804561 0.004876025 0.04692533],[-0.9090886 0.0 0.122553],[0.00168454 -0.0006384014 0.02171846]
[7.194277 0.1000907 -23.38669],[0.9987142 0.01805932 0.004873154 0.04711736],[-0.9200245 0.0 0.1286771],[0.001493988 -0.0005642982 0.01921051]
[7.175658 0.1000907 -23.38399],[0.998706 0.01807138 0.004870632 0.04728612],[-0.9309474 0.0 0.1347578],[0.001313272 -0.0004958869 0.01688255]
[7.156821 0.1000907 -23.38118],[0.9986989 0.018082 0.004868434 0.04743342],[-0.9418483 0.0 0.1407948],[0.001154959 -0.000431987 0.01473507]
[7.137766 0.1000907 -23.37824],[0.9986927 0.01809122 0.004866531 0.04756107],[-0.9527192 0.0 0.1467877],[0.00100347 -0.0003741441 0.01277023]
[7.118495 0.1000907 -23.37519],[0.9986873 0.01809923 0.004864897 0.04767089],[-0.9635527 0.0 0.1527365],[0.0008713953 -0.000321115 0.01098601]
