r,y,e,u,d
[0.0187964880940244 -3.91116348382557E-250 0.0170941326104117 -3.91116400527169E-250],[0.0182910716521787 0.0 0.0175982643917405 0.0],[0.000505416441845676 -3.91116348382557E-250 -0.000504131781328864 -3.91116400527169E-250],[312.88760761308 9.91125782206236E-247 306.807029194587 9.91125914345609E-247],[0.0 0.0 0.0 0.0]
[0.0190294410402648 -3.76582640218402E-250 0.0168557628921283 -3.76582690425343E-250],[0.0182968522401823 0.0 0.0175926096487424 0.0],[0.000732588800082496 -3.76582640218402E-250 -0.000736846756614111 -3.76582690425343E-250],[312.959254812359 9.5429599247199E-247 306.734965567074 9.54296119701122E-247],[0.0 0.0 0.0 0.0]
[0.0192582020639877 -3.62588998134006E-250 0.0166210293931364 -3.62589046475279E-250],[0.0183052326827333 0.0 0.0175843462241301 0.0],[0.000952969381254477 -3.62588998134006E-250 -0.000963316830993766 -3.62589046475279E-250],[313.052455236878 9.1883478121307E-247 306.640753161764 9.18834903714425E-247],[0.0 0.0 0.0 0.0]
[0.0194774661395429 -3.49115353515963E-250 0.0163953762543751 -3.49115400060896E-250],[0.0183161370382717 0.0 0.0175735459612272 0.0],[0.00116132910127121 -3.49115353515963E-250 -0.00117816970685211 -3.49115400060896E-250],[313.166033246176 8.84691292666882E-247 306.525528140904 8.84691410616142E-247],[0.0 0.0 0.0 0.0]
[0.019682732243385 -3.36142383491544E-250 0.0161834782201492 -3.36142428306889E-250],[0.0183294299399877 0.0 0.0175603413774724 0.0],[0.00135330230339731 -3.36142383491544E-250 -0.0013768631573232 -3.36142428306889E-250],[313.298386238475 8.51816560848171E-247 306.39087089662 8.51816674414489E-247],[0.0 0.0 0.0 0.0]
[0.0198696219592683 -3.23651483217308E-250 0.0159899328835459 -3.23651526367335E-250],[0.0183449263047357 0.0 0.0175449161840126 0.0],[0.00152469565453264 -3.23651483217308E-250 -0.0015549833004667 -3.23651526367335E-250],[313.447501503939 8.20163439325741E-247 306.238793498779 8.20163548671986E-247],[0.0 0.0 0.0 0.0]
[0.0200347834320634 -3.11624739197456E-250 0.0158183193591554 -3.11624780744047E-250],[0.0183623931010079 0.0 0.0175275036350507 0.0],[0.00167239033105556 -3.11624739197456E-250 -0.00170918427589524 -3.11624780744047E-250],[313.611061311716 7.89686533608644E-247 306.071635242462 7.89686638891631E-247],[0.0 0.0 0.0 0.0]
[0.0201752381284529 -3.0004490359366E-250 0.0156718581987041 -3.00044943596398E-250],[0.0183815614342011 0.0 0.017508374332141 0.0],[0.00179367669425177 -3.0004490359366E-250 -0.00183651613343686 -3.00044943596398E-250],[313.786482928236 7.60342136044864E-247 305.892023927934 7.60342237415583E-247],[0.0 0.0 0.0 0.0]
[0.0202888237206591 -2.88895369489534E-250 0.0155529401838328 -2.88895408005788E-250],[0.0184021310215288 0.0 0.0174878315632732 0.0],[0.00188669269913032 -2.88895369489534E-250 -0.00193489137944041 -2.88895408005788E-250],[313.971001511891 7.32088163139139E-247 305.702791512382 7.32088260742967E-247],[0.0 0.0 0.0 0.0]
[0.0203740619988067 -2.78160147074259E-250 0.0154632486869491 -2.78160184159267E-250],[0.018423779713809 0.0 0.0174662014405241 0.0],[0.00195028228499772 -2.78160147074259E-250 -0.00200295275357494 -2.78160184159267E-250],[314.161739158314 7.04884095200026E-247 305.506902693081 7.04884189176939E-247],[0.0 0.0 0.0 0.0]
[0.0204301306583367 -2.67823840711218E-250 0.0154037766638071 -2.67823876418164E-250],[0.0184461714364572 0.0 0.017443824560257 0.0],[0.00198395922187954 -2.67823840711218E-250 -0.00204004789644992 -2.67823876418164E-250],[314.355770409836 6.78690918229648E-247 305.307385968065 6.78691008714422E-247],[0.0 0.0 0.0 0.0]
[0.0204569164910905 -2.57871626858749E-250 0.0153747609522096 -2.5787166123884E-250],[0.0184689637663186 0.0 0.0174210479992691 0.0],[0.00198795272477189 -2.57871626858749E-250 -0.00204628704705957 -2.5787166123884E-250],[314.550192226021 6.53471067972802E-247 305.107259053996 6.53471155095202E-247],[0.0 0.0 0.0 0.0]
[0.0204548705645954 -2.48289232811351E-250 0.0153758256162778 -2.48289265913893E-250],[0.0184918160898373 0.0 0.0173982167277464 0.0],[0.00196305447475812 -2.48289232811351E-250 -0.00202239111146853 -2.48289265913893E-250],[314.742178992857 6.29188376045165E-247 304.909469162904 6.29188459930136E-247],[0.0 0.0 0.0 0.0]
[0.0204251451320833 -2.39062916230862E-250 0.0154058345623802 -2.39062948103329E-250],[0.0185143960627964 0.0 0.0173756667825035 0.0],[0.00191074906928689 -2.39062916230862E-250 -0.00196983222012337 -2.39062948103329E-250],[314.929050289994 6.05808018063363E-247 304.716819532436 6.05808098831206E-247],[0.0 0.0 0.0 0.0]
[0.0203692705008215 -2.30179445438245E-250 0.0154632274585309 -2.30179476126346E-250],[0.018536387626254 0.0 0.0173537169342265 0.0],[0.00183288287456751 -2.30179445438245E-250 -0.00189048947569557 -2.30179476126346E-250],[315.108306271732 5.83296463702494E-247 304.531929623957 5.8329654146904E-247],[0.0 0.0 0.0 0.0]
[0.0202894258533379 -2.21626080437725E-250 0.0155457383236175 -2.21626109985469E-250],[0.0185574952630831 0.0 0.0173326642484046 0.0],[0.00173193059025479 -2.21626080437725E-250 -0.00178692592478709 -2.21626109985469E-250],[315.277689118048 5.61621428609499E-247 304.357168232825 5.61621503486275E-247],[0.0 0.0 0.0 0.0]
[0.0201880529685175 -2.13390554646057E-250 0.01565080291058 -2.1339058309582E-250],[0.0185774513615655 0.0 0.017312776603964 0.0],[0.00161060160695198 -2.13390554646057E-250 -0.00166197369338406 -2.1339058309582E-250],[315.435205987374 5.40751828103404E-247 304.194627172421 5.40751900197793E-247],[0.0 0.0 0.0 0.0]
[0.0200680107299127 -2.05461057300731E-250 0.0157754029682297 -2.05461084693314E-250],[0.0185960190755458 0.0 0.0172942898657023 0.0],[0.00147199165436687 -2.05461057300731E-250 -0.00151888689747257 -2.05461084693314E-250],[315.579166800568 5.20657732596045E-247 304.046080003513 5.20657802011439E-247],[0.0 0.0 0.0 0.0]
[0.019932381028439 -1.97826216521877E-250 0.0159162758139356 -1.97826242896564E-250],[0.0186129969453274 0.0 0.017277403370643 0.0],[0.0013193840831116 -1.97826216521877E-250 -0.00136112755670748 -1.97826242896564E-250],[315.708202590247 5.01310324669337E-247 303.912961701284 5.01310391505285E-247],[0.0 0.0 0.0 0.0]
[0.0197844444829126 -1.90475083003582E-250 0.0160699469073835 -1.90475108398197E-250],[0.0186282212315345 0.0 0.0172622778007239 0.0],[0.00115622325137816 -1.90475083003582E-250 -0.00119233089334039 -1.90475108398197E-250],[315.821281247323 4.8268185774753E-247 303.796351716102 4.82681922099885E-247],[0.0 0.0 0.0 0.0]
[0.0196275723619365 -1.83397114311234E-250 0.0162328496013367 -1.83397138762196E-250],[0.0186415679324595 0.0 0.0172490334312389 0.0],[0.000986004429476994 -1.83397114311234E-250 -0.00101618382990224 -1.83397138762196E-250],[315.917712500218 4.64745616305192E-247 303.696968917243 4.64745678266242E-247],[0.0 0.0 0.0 0.0]
